,Latent,Sensible,Downwelling Longwave,Upwelling Longwave,Downwelling Shortwave,Upwelling Shortwave
mean,-1.0726633071899414,-4.461901664733887,-28.012786865234375,7.73504638671875,37.017242431640625,33.3770751953125
mae,-0.7811723756503186,-1.4019612548069156,12.904663633442926,-3.9971361249266426,8.655036472220694,10.803521394838434
bias,-0.8224266282386248,-2.437507928349078,-28.012780095489944,7.735076474471829,37.01724866410377,33.37708400672591
