,us,br,mo,rl
2015-01-29 00:10:00,0.01785251227905452,2.1912517257882707,544.2383002998903,0.001
2015-01-29 00:20:00,0.020686049871502396,-8.733003683703721,-9.210643692927908,0.001
2015-01-29 00:30:00,0.01741447539049641,33.733107722645904,-4.8281309835141,0.001
2015-01-29 00:40:00,0.01508421197996166,19.968249783215867,-1.5492403077259982,0.001
2015-01-29 00:50:00,0.034648814702000576,57.973375322597846,-3.956324040042416,0.001
2015-01-29 01:00:00,0.032369539115887004,-154.0090147070812,-2.9962000463158995,0.001
2015-01-29 01:10:00,0.012516164049067463,35.25906056578812,2.397744294578082,0.001
2015-01-29 01:20:00,0.01411735263451368,-16.17387475333596,-11.54036284024938,0.001
2015-01-29 01:30:00,0.020185412453472343,-5.877498482033088,-1.6445336774011874,0.001
2015-01-29 01:40:00,0.030210416046113003,-43.07274398394124,-2.1264930400625923,0.001
2015-01-29 01:50:00,0.011709741055539633,4.848400573735918,29.775817766479086,0.001
2015-01-29 02:00:00,0.03098303526587056,-140.15010376110098,-4.48474959660942,0.001
2015-01-29 02:10:00,0.03748658422971017,-4.007383068456436,-0.2987047991762469,0.001
2015-01-29 02:20:00,0.01806337347043316,4.256732919132638,4.647757843454815,0.001
2015-01-29 02:30:00,0.039119651366627456,-11.407445211374489,-0.6832255504341526,0.001
2015-01-29 02:40:00,0.014368329882326166,-232.3924519186095,-19.318239073790338,0.001
2015-01-29 02:50:00,0.04839425121563731,-1.1507853658305758,-0.6069817900838405,0.001
2015-01-29 03:00:00,0.01999336097015761,-21.38716250939944,-3.868678747089504,0.001
2015-01-29 03:10:00,0.01986146763596344,17.482490770967555,1.5720658755965238,0.001
2015-01-29 03:20:00,0.017765942393607702,-28.46838047662603,-10.301347130995708,0.001
2015-01-29 03:30:00,0.025495212814944268,-87.73976635638334,-4.613401246660352,0.001
2015-01-29 03:40:00,0.03657435295781193,-47.48095739571564,-1.4131445142265286,0.001
2015-01-29 03:50:00,0.03664930589517189,-18.526756307165208,-2.101631762170169,0.001
2015-01-29 04:00:00,0.033757935998865105,87.0829462951055,-1.1488696404901355,0.001
2015-01-29 04:10:00,0.03619663870650344,-5.6947174485188565,-0.5030988053049028,0.001
2015-01-29 04:20:00,0.027465904058328553,-37.150109253280206,-10.173073310250713,0.001
2015-01-29 04:30:00,0.024128263312629208,6.0198522607031695,2.780398019312498,0.001
2015-01-29 04:40:00,0.035643841799728425,43.87585720305836,-1.812867379354988,0.001
2015-01-29 04:50:00,0.03632329291663528,313.5028719844003,-4.301533516337996,0.001
2015-01-29 05:00:00,0.039409442370286714,78.67982136604341,-3.4102362765868808,0.001
2015-01-29 05:10:00,0.03626984109687521,-24.78860477474436,-1.1782747646791871,0.001
2015-01-29 05:20:00,0.026703260208603755,940.9197376789608,-2.472690147790393,0.001
2015-01-29 05:30:00,0.021284189779545853,80.34868708869891,-6.271326639440352,0.001
2015-01-29 05:40:00,0.01887864798352892,-192.5916338310221,-13.098665116788675,0.001
2015-01-29 05:50:00,0.006337099188552871,-6076.871599936284,-431.77880627384246,0.001
2015-01-29 06:00:00,0.03038080162711195,2.01369688313632,0.04380516109483519,0.001
2015-01-29 06:10:00,0.02623368665004918,-74.78988086804367,-4.899064746879657,0.001
2015-01-29 06:20:00,0.021037643687398896,-20.557123396786736,-4.158193272315551,0.001
2015-01-29 06:30:00,0.02258960546141832,181.09524574110327,-11.094051055528604,0.001
2015-01-29 06:40:00,0.017193523645231242,257.57402186391306,-14.057952630056842,0.001
2015-01-29 06:50:00,0.03054249477436229,-4.8832663169222394,-0.2301842279254448,0.001
2015-01-29 07:00:00,0.023199387088507096,3.3819943299373305,0.7960350035370684,0.001
2015-01-29 07:10:00,0.02183727546131081,11.541229353808244,-2.448365091660106,0.001
2015-01-29 07:20:00,0.018506796916158755,111.34501205739312,-4.012550255880911,0.001
2015-01-29 07:30:00,0.027375389259825147,180.31906673950283,-2.4588277980557547,0.001
2015-01-29 07:40:00,0.03929691066359606,-12.742440580812238,-3.411012717035368,0.001
2015-01-29 07:50:00,0.02158391066279901,46950.080772724505,-2.859551797439876,0.001
2015-01-29 08:00:00,0.009911679757096448,47.69333088905963,-37.916035240248426,0.001
2015-01-29 08:10:00,0.03525298680868032,131.8166331272294,-0.7302674158520834,0.001
2015-01-29 08:20:00,0.010292010089331146,27.255484827046534,-40.71447581822214,0.001
2015-01-29 08:30:00,0.022961893032146127,32.57057245524132,-1.0449182916329007,0.001
2015-01-29 08:40:00,0.031044421671649627,73.25319904117306,-5.696032228562813,0.001
2015-01-29 08:50:00,0.03229497075517343,-202.87100393479068,-5.487071586716101,0.001
2015-01-29 09:00:00,0.03536659635085475,86.57793841095035,-3.2843421732645246,0.001
2015-01-29 09:10:00,0.021768538209953756,42.116446120477455,-11.70021034603846,0.001
2015-01-29 09:20:00,0.020786750865100814,45.22339007934784,-7.68542187336013,0.001
2015-01-29 09:30:00,0.011636372123837536,-257.7185116906997,-56.04759410597472,0.001
2015-01-29 09:40:00,0.027952913604784576,-22.029725238229908,-3.1473711444095884,0.001
2015-01-29 09:50:00,0.01055912459192259,40.358134674747376,-12.217910021963704,0.001
2015-01-29 10:00:00,0.029153366572021423,-2.514958350124804,-1.6426944777409973,0.001
2015-01-29 10:10:00,0.01530613209380724,10.931806279758202,-3.0884102229025254,0.001
2015-01-29 10:20:00,0.020723091597423013,25.550525541541205,-3.0902012749182988,0.001
2015-01-29 10:30:00,0.015931850649263234,-46.36855865856706,-1.4539569348307086,0.001
