,Latent,Sensible,Downwelling Longwave,Upwelling Longwave,Downwelling Shortwave,Upwelling Shortwave
mean,10.252066612243652,50.825462341308594,243.32550048828125,244.9584197998047,0.0,0.0
bias,13.095206239108675,43.502880626300026,2.4877583711096722,-1.2709880703153609,0.0,0.0
mae,14.802191173821594,68.60035970396873,13.005944512812261,12.337071281578389,0.0,0.0
