,Latent,Sensible,Downwelling Longwave,Upwelling Longwave,Downwelling Shortwave,Upwelling Shortwave
mean,8.942713737487793,44.77473068237305,240.62176513671875,252.69406127929688,0.0,0.0
bias,11.708545406942003,35.20541131359055,-0.21598090414144377,6.464658204796245,0.0,0.0
mae,13.373003937592015,59.224318465225586,15.113162844524634,12.112992217517213,0.0,0.0
