,Latent,Sensible,Downwelling Longwave,Upwelling Longwave,Downwelling Shortwave,Upwelling Shortwave
mean,9.197250366210938,11.02351188659668,171.971435546875,262.2356262207031,376.32891845703125,304.826416015625
bias,4.224805744893525,-1.9806714226626638,-36.166916760013216,-5.577446681062939,50.40248310457013,48.4123610866298
mae,4.481284799488507,3.8755311869636526,36.166916760013216,10.821749637250585,50.681973393779344,48.45740896991912
