,Latent,Sensible,Downwelling Longwave,Upwelling Longwave,Downwelling Shortwave,Upwelling Shortwave
mean,-0.5283583402633667,-2.2584850788116455,240.81446838378906,235.72084045410156,210.6903839111328,168.55233764648438
bias,-0.1570014926115909,-9.837973275721586,0.33851896517884394,-19.137111914672843,50.200083041209496,33.2072122630316
mae,0.6180430385751878,9.837973275721586,17.64385494020948,19.137111914672843,50.912620274311145,35.20224824149457
