,Latent,Sensible,Downwelling Longwave,Upwelling Longwave,Downwelling Shortwave,Upwelling Shortwave
mean,-1.3093528747558594,-6.050731658935547,-2.7037353515625,7.7356414794921875,0.0,0.0
bias,-1.3866608321666725,-8.297469312709474,-2.703739275251116,7.7356462751116055,0.0,0.0
mae,-1.4291872362295788,-9.376041238743149,2.1072183317123727,-0.22407906406117561,0.0,0.0
